dataset	nLoci	length_cds_avg	length_cds_std	GCcds_avg	GCcds_std	GC12_avg	GC12_std	GC3_avg	GC3_std	length_utr_avg	length_utr_std	GCutr_avg	GCutr_std	r_expression_ENc	r_expression_ENcP	r_nReads_ENc	r_nReads_ENcP	r_GC3_GCutr	r_GC12_GCutr	focal	indiv	Fit	FitWC	piS	piN	piNpiS	Fit_d	Fit_u	FitWC_d	FitWC_u	piS_d	piS_u	piN_d	piN_u	piNpiS_d	piNpiS_u	Dtaj_ns	Dtaj_s	spid	spTrue	longevity	gestation	size	bodymass	juvenileSize	juvenileMass	ratioJuv	ratioJuvMass	ratioJuvSize	ratioJuvTime	ovosize	spermsize	dispersal	larvalDispersal	sociality	density	diet	sex	speed	kmh	fecundation	parentalCare	fecundity	fecundityPerDay	biogeography	Environment	invasive	genome.size	vertebrate	genus	subfamily	family	superfamily	suborder	order	class	superclass	phylum	custom	juvSize
Echinocardium_mediterraneum	7621	826.09513	757.03443	0.50438	0.04656	0.46809	0.04376	0.57698	0.10467	430.92337	385.22778	0.37832	0.05554	-0.1168	-0.08334	-0.19815	-0.19209	0.09846	0.07176	Echinocardium_mediterraneum	7	-0.079221	0.00932114	0.0210419	0.00215052	0.102202	-0.085728	-0.07241	0.002482	0.016118	0.020576	0.021509	0.002072	0.002227	0.098088	0.106356	-1.10891	-0.526322	Echinocardium_mediterraneum	Echinocardium_mediterraneum	10	NA	4.5	38	0.0075	2.2078125e-07	4.62963e-09	5.810033e-09	0.001666666666667	NA	NA	NA	NA	NA	NA	NA	detri	gonochoric	slow	2.0833333333e-05	ext	NA	1000000	2739.72602739726	NA	marine	0	NA	invertebrate	Echinocardium	NA	Loveniidae	NA	NA	Spatangoida	Echinoidea	Echinozoa	Echinodermata	Echinodermata	0.0075000000000015
Emys_orbicularis	2739	523.80942	358.77648	0.48299	0.06505	0.46518	0.05434	0.51861	0.13974	608.21066	558.22595	0.42392	0.08377	-0.05619	-0.10786	-0.07269	-0.15904	0.63033	0.29854	Emys_orbicularis	10	0.261504	0.344851	0.00411023	0.000553684	0.134709	0.234218	0.288965	0.318224	0.371674	0.003806	0.004434	0.000491	0.000617	0.117371	0.15315	-0.691663	-0.00248166	Emys_orbicularis	Emys_orbicularis	120	95	25	977	2	9	0.000512	0.00921187308086	0.08	NA	NA	NA	NA	NA	NA	NA	carni	gonochoric	fast	0.3	int	NA	16	0.087671232876712	palearctic	terrestrial	0	2.6	vertebrate	Emys	NA	Emydidae	Testudinoidea	Cryptodira	Testudines	NA	Gnathostomata	Chordata	Chordata	2
Eunicella_cavolinii	1163	498.36371	355.58504	0.41366	0.0394	0.4337	0.04574	0.37359	0.06982	197.99226	120.21768	0.35076	0.05675	-0.15169	-0.10794	-0.14073	-0.11098	0.09907	0.06816	Eunicella_cavolinii	8	0.240755	0.304238	0.01249	0.00160645	0.128618	0.229196	0.252269	0.29402	0.31465	0.01217	0.01282	0.001537	0.001678	0.12232	0.135242	-0.884224	-0.718562	Eunicella_cavolinii	Eunicella_cavolinii	100	NA	30	NA	0.25	NA	3.5126422e-08	NA	0.008333333333333	NA	NA	NA	NA	NA	NA	NA	herbi	hermaphrodite	fix	0	int	NA	12093.2	33.1320547945206	NA	marine	0	NA	invertebrate	Eunicella	NA	Gorgoniidae	NA	Holaxonia	Alcyonacea	Anthozoa	NA	Cnidaria	Cnidaria	0.24999999999999
Halictus_scabiosae	3362	750.80309	519.13228	0.42388	0.06144	0.42841	0.04718	0.41481	0.13569	581.23855	540.14741	0.3498	0.07152	-0.08166	-0.09255	0.01801	-0.20104	0.54864	0.24264	Halictus_scabiosae	11	-0.0349215	0.0275652	0.00211062	0.000260425	0.123388	-0.050379	-0.018858	0.002605	0.052536	0.001952	0.002267	0.000231	0.000291	0.108795	0.139135	-0.337172	0.0381206	Halictus_scabiosae	Halictus_scabiosae	1	NA	1.5	0.0930228	NA	NA	1	1	1	NA	NA	NA	NA	NA	NA	NA	herbi	gonochoric	fast	32.19	int	NA	11	NA	NA	terrestrial	0	NA	invertebrate	Halictus	Halictinae	Halictidae	Apoidea	Aculeata	Hymenoptera	Insecta	Hexapoda	Arthropoda	Arthropoda	1.5
Hippocampus_guttulatus	11467	984.14049	953.69493	0.53968	0.05335	0.48449	0.04832	0.65005	0.11443	662.46342	597.94237	0.44303	0.06552	-0.09881	-0.11823	-0.05465	-0.08685	0.28415	0.15436	Hippocampus_guttulatus	6	-0.0187697	0.12962	0.00162526	0.000384113	0.236339	-0.031451	-0.006101	0.109894	0.149014	0.001551	0.0017	0.000365	0.000403	0.222634	0.250655	-0.346465	0.0341816	Hippocampus_guttulatus	Hippocampus_guttulatus	7	21	13.25	4.76285664168918	1.2	0.001454925645727	0.000742841405993	0.000305473323088	0.090566037735849	NA	NA	NA	55	NA	solitary	NA	carni	gonochoric	fast	NA	int	NA	214	2.46575342465753	NA	marine	0	3.75	invertebrate	Hippocampus	Hippocampinae	Syngnathidae	Syngnathoidea	NA	Syngnathiformes	Actinopterygii	Gnathostomata	Chordata	Chordata	1.2
Lepus_granatensis	2230	623.12825	459.85397	0.4912	0.07645	0.4651	0.0583	0.54342	0.16095	479.87713	432.18426	0.43337	0.10471	-0.02173	-0.05824	-0.06655	-0.12799	0.67097	0.37592	Lepus_granatensis	10	-0.0431106	0.022117	0.00397721	0.000512409	0.128836	-0.060454	-0.02481	0.000662	0.042612	0.003685	0.004283	0.000449	0.000583	0.113435	0.145887	-0.78716	-0.290882	Lepus_granatensis	Lepus_granatensis	18	43	45.9	2323.94	NA	800	0.344242966685887	0.344242966685887	0.689410276471614	NA	NA	NA	NA	NA	NA	NA	herbi	gonochoric	fast	56	int	NA	2.08	0.019831232876712	NA	terrestrial	0	3.315	vertebrate	Lepus	NA	Leporidae	NA	NA	Lagomorpha	Mammalia	Gnathostomata	Chordata	Chordata	31.6439316900471
Lineus_longissimus	7649	903.54556	705.5929	0.47101	0.03634	0.45641	0.04195	0.5002	0.07664	556.83684	535.90212	0.40222	0.04127	-0.1163	-0.15007	-0.11695	-0.19701	0.18983	0.05474	Lineus_longissimus	6	-0.109293	-0.01569	0.0177877	0.0015871	0.0892245	-0.117199	-0.101112	-0.02393	-0.007974	0.017083	0.018505	0.001492	0.001685	0.082676	0.096202	-0.781206	-0.569098	Lineus_longissimus	Lineus_longissimus	NA	NA	1000	NA	0.02	NA	NA	NA	"0	00002"	NA	NA	NA	NA	NA	NA	NA	NA	NA	fast	NA	ext	NA	10000	27.3972602739726	NA	marine	0	NA	invertebrate	Lineus	NA	Lineidae	NA	NA	Heteronemertea	Anopla	NA	Nemertea	Nemertea	0.02
Maniola_jurtina	14730	440.6	443.85135	0.39996	0.07376	0.3998	0.07102	0.40027	0.11131	405.43327	355.75884	0.33304	0.05928	-0.12063	-0.11618	-0.06541	-0.22267	0.18006	0.17978	Maniola_jurtina	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	5.16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	gonochoric	fast	8	int	NA	NA	NA	NA	terrestrial	NA	NA	invertebrate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Messor_capitatus	2590	1068.60463	858.35557	0.45005	0.06526	0.43957	0.05252	0.47102	0.12388	703.7278	727.60617	0.37496	0.07748	-0.07693	-0.1141	-0.02116	-0.10053	0.37883	0.32424	Messor_capitatus	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	NA	1.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	gonochoric	fast	NA	int	NA	NA	NA	NA	terrestrial	NA	NA	invertebrate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Microtus_arvalis	5718	980.92288	920.57971	0.5085	0.06253	0.48131	0.05543	0.56288	0.1186	729.11263	704.72233	0.47197	0.0818	-0.04028	-0.07515	-0.04411	-0.08624	0.5788	0.36724	Microtus_arvalis	7	0.298297	0.346856	0.00849582	0.00096359	0.113419	0.288049	0.308693	0.336379	0.357625	0.008258	0.008741	0.00092	0.001007	0.108323	0.118615	-1.05047	-0.730555	Microtus_arvalis	Microtus_arvalis	4.8	21	11.366	27.5	NA	8.9	0.323636363636364	0.323636363636364	0.686571498896641	NA	NA	NA	NA	NA	NA	0.1	herbi	gonochoric	fast	13	int	NA	5.1	0.076849315068493	palearctic	terrestrial	0	2.915	vertebrate	Microtus	Arvicolinae	Cricetidae	NA	Sciurognathi	Rodentia	Mammalia	Gnathostomata	Chordata	Chordata	7.80357165645922
Mytilus_galloprovincialis	4539	614.74884	529.55676	0.38993	0.03633	0.42495	0.05087	0.31989	0.05622	280.0683	234.43466	0.31678	0.04397	-0.13358	-0.16512	-0.09604	-0.21023	0.07877	0.06375	Mytilus_galloprovincialis	6	-0.0348511	0.0723712	0.0334238	0.00225418	0.0674425	-0.041304	-0.028233	0.065014	0.079813	0.032698	0.03415	0.00217	0.002341	0.064672	0.070266	-0.775709	-0.495116	Mytilus_galloprovincialis	Mytilus_galloprovincialis	25	NA	7.5	37.5	0.01	5.23333333e-07	2.68537e-10	1.3955556e-08	0.001333333333333	NA	NA	NA	NA	NA	NA	NA	detri	gonochoric	fix	0	ext	NA	40000000	109589.04109589	NA	marine	1	1.665	invertebrate	Mytilus	Mytilinae	Mytilidae	Mytiloidea	NA	Mytiloida	Bivalvia	NA	Mollusca	Mollusca	0.0099999999999975
Necora_puber	6541	992.8037	918.45147	0.50948	0.05718	0.48277	0.0533	0.56291	0.11271	696.18545	711.30985	0.42057	0.07196	-0.11006	-0.08458	-0.10447	-0.12048	0.35694	0.26853	Necora_puber	8	-0.0939942	-0.0107796	0.00591197	0.000522356	0.0883556	-0.100326	-0.087457	-0.017263	-0.0044	0.005716	0.006114	0.000497	0.000547	0.08376	0.093038	-0.939952	-0.708991	Necora_puber	Necora_puber	10	NA	6	90	0.18	NA	NA	NA	0.03	NA	NA	NA	NA	NA	NA	NA	omni	gonochoric	fast	1.8	int	NA	400000	1095.8904109589	NA	marine	0	NA	invertebrate	Necora	NA	Carcinidae	Portunoidea	Pleocyemata	Decapoda	Malacostraca	NA	Arthropoda	Arthropoda	0.18
Ophioderma_longicauda_L1	5066	546.85452	556.75303	0.43832	0.04327	0.44277	0.05356	0.42941	0.06973	399.14686	351.51117	0.37232	0.04516	-0.07722	-0.14298	-0.06715	-0.18764	0.13501	0.08349	Ophioderma_longicauda_L1	5	-0.115926	-0.00911235	0.0161113	0.0028924	0.179526	-0.131689	-0.099535	-0.026435	0.008384	0.01507	0.017178	0.002668	0.003127	0.16405	0.196429	-0.992068	-0.70129	Ophioderma_longicauda_L1	Ophioderma_longicauda	NA	NA	1.53	2.18	0.02	NA	NA	NA	0.013071895424837	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.36	NA	NA	1500	4.10958904109589	NA	marine	0	NA	invertebrate	Ophioderma	Ophiodermatinae	Ophiodermatidae	NA	Ophiurina	Ophiurida	Ophiuroidea	Asterozoa	Echinodermata	Echinodermata	0.0200000000000006
Ostrea_edulis	2771	534.14183	413.58657	0.43805	0.043	0.43536	0.04799	0.44343	0.08144	479.84266	438.66512	0.33664	0.04954	-0.09719	-0.05348	-0.08989	-0.09532	0.18576	0.1109	Ostrea_edulis	10	-0.061967	-0.000708434	0.00529649	0.000940557	0.177581	-0.080045	-0.044187	-0.021812	0.020398	0.004957	0.005654	0.000847	0.00104	0.158781	0.19831	-0.429405	-0.217328	Ostrea_edulis	Ostrea_edulis	34	NA	11	267.907623059048	0.018	3.05208e-06	4.381668e-09	1.1392285e-08	0.001636363636364	NA	NA	NA	0	10000	gregarious	NA	detri	hermaphrodite	fix	0	int	NA	2000000	5479.45205479452	NA	marine	1	1.17	invertebrate	Ostrea	NA	Ostreidae	Ostreoidea	NA	Ostreoida	Bivalvia	NA	Mollusca	Mollusca	0.018000000000004
Parus_caeruleus	2172	583.01105	477.38046	0.48146	0.06561	0.4621	0.05514	0.52018	0.13619	716.60866	663.41568	0.41968	0.07635	-0.02901	-0.10538	-0.09699	-0.16826	0.53691	0.28977	Parus_caeruleus	10	-0.0421463	0.0287238	0.00534488	0.000737193	0.137925	-0.053875	-0.030367	0.014163	0.043116	0.004985	0.005715	0.000666	0.000809	0.122844	0.153806	-1.70855	-0.597998	Parus_caeruleus	Parus_caeruleus	14.6	NA	11.5	10.3	NA	10.3	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	gonochoric	fast	29	int	NA	9	0.024657534246575	NA	terrestrial	0	1.47	vertebrate	Parus	NA	Paridae	NA	NA	Passeriformes	Aves	Gnathostomata	Chordata	Chordata	11.5
Pectinaria_koreni_nord	484	444.93595	290.05619	0.49669	0.05826	0.46357	0.05022	0.56293	0.12256	307.87397	271.69778	0.36686	0.07617	-0.08485	-0.02785	-0.05704	-0.01826	0.39162	0.19322	Pectinaria_koreni_nord	6	-0.0850937	-0.00263137	0.0132779	0.000738225	0.0555981	-0.106394	-0.062356	-0.025793	0.020995	0.011994	0.014605	0.000614	0.00087	0.045811	0.066449	-1.09943	-1.06794	Pectinaria_koreni_nord	Pectinaria_koreni	1.41666666666667	NA	2.5	0.2579	0.00625	1.27766927e-07	1.5625e-08	4.95412668e-07	0.0025	0.000155098875533	NA	NA	NA	NA	NA	1000	detri	gonochoric	slow	0	ext	NA	430000	1178.08219178082	palearctic	marine	0	1.35	invertebrate	Pectinaria	NA	Pectinariidae	NA	NA	Terebellida	Polychaeta	NA	Annelida	Annelida	0.00625
Physa_acuta	3480	688.43276	578.92444	0.44354	0.05759	0.44284	0.04558	0.44494	0.13377	493.94368	496.86922	0.32455	0.06248	-0.18783	-0.00781	-0.15795	-0.06622	0.30422	0.17478	Physa_acuta	9	0.135501	0.233858	0.0317507	0.00226422	0.0713124	0.123425	0.14773	0.221019	0.24709	0.030379	0.033155	0.002105	0.002429	0.066672	0.076283	-0.737943	-0.437758	Physa_acuta	Physa_acuta	1.5	11	0.85	0.0095	0.05	6.5416666667e-05	0.000203541624262	0.006885964912281	0.058823529411765	NA	NA	NA	NA	NA	NA	NA	detri	hermaphrodite	slow	0.004056	int	NA	100	14.2465753424658	nearctic	fresh	1	1.2	invertebrate	Physa	NA	Physidae	Planorboidea	NA	NA	Gastropoda	NA	Mollusca	Mollusca	0.0500000000000003
Pontia_daplidice	2241	1070.34538	831.99479	0.44695	0.07393	0.45332	0.06113	0.43422	0.13173	453.85855	463.48516	0.32763	0.06626	-0.11511	-0.13415	-0.054	-0.18197	0.39224	0.25081	Pontia_daplidice	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	5.16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	gonochoric	fast	8	int	NA	NA	NA	NA	terrestrial	NA	NA	invertebrate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Reticulitermes_grassei	6518	975.79994	898.20404	0.44265	0.04454	0.45489	0.04925	0.41816	0.07847	665.07809	695.60391	0.37409	0.04198	-0.07457	-0.11006	-0.07406	-0.10173	0.23709	0.06016	Reticulitermes_grassei	9	0.212055	0.261382	0.00112279	0.000232282	0.206878	0.194938	0.229627	0.244998	0.277869	0.001055	0.001189	0.000216	0.000248	0.190513	0.224604	-0.319481	-0.0305115	Reticulitermes_grassei	Reticulitermes_grassei	30	NA	4.75	0.0155	NA	0.0155	1	1	1	1	NA	NA	NA	NA	NA	NA	detri	gonochoric	fast	2.48832	int	NA	10000	2.73972602739726	palearctic	terrestrial	0	1.02666666666667	invertebrate	Reticulitermes	Heterotermitinae	Rhinotermitidae	NA	NA	Isoptera	Insecta	Hexapoda	Arthropoda	Arthropoda	4.75
Sepia_officinalis	2629	853.20616	741.19326	0.41768	0.04143	0.4325	0.04888	0.38803	0.07205	289.3663	222.29085	0.35412	0.06132	-0.09686	-0.09306	-0.08989	-0.10676	0.228	0.16743	Sepia_officinalis	9	0.127994	0.233154	0.00212886	0.000198153	0.0930791	0.112295	0.14382	0.217432	0.248669	0.002023	0.002234	0.000183	0.000213	0.085122	0.101265	-0.508909	0.0698005	Sepia_officinalis	Sepia_officinalis	2	60	22	1000	2	0.811666666666667	0.000125	0.000811666666667	0.090909090909091	0.125	NA	NA	NA	NA	NA	NA	carni	gonochoric	fast	2.34	int	NA	550	2.2	palearctic	marine	0	4.5	invertebrate	Sepia	NA	Sepiidae	NA	Sepiina	Sepiida	Cephalopoda	NA	Mollusca	Mollusca	2
Thymelicus_sylvestris	7983	869.95866	738.43736	0.46901	0.08179	0.44766	0.05832	0.51171	0.16356	418.90267	407.87005	0.35064	0.06931	-0.09288	-0.10499	-0.06399	-0.17494	0.26167	0.19966	Thymelicus_sylvestris	7	0.0382002	0.0931063	0.0227798	0.00148765	0.0653053	0.031069	0.0454	0.087967	0.098277	0.022421	0.023143	0.001447	0.001528	0.063395	0.067286	-0.802922	-0.262709	Thymelicus_sylvestris	Thymelicus_sylvestris	1	NA	2.72	NA	0.089881104304194	NA	NA	NA	0.033044523641248	NA	NA	NA	NA	NA	NA	NA	herbi	gonochoric	fast	8	int	NA	99	13.2	NA	terrestrial	0	NA	invertebrate	Thymelicus	Hesperiinae	Hesperiidae	Hesperioidea	Glossata	Lepidoptera	Insecta	Hexapoda	Arthropoda	Arthropoda	0.0898811043041946
